City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
60,Faanui,PF,79.03,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
61,Manono,CD,72.75,clear sky,-7.3,27.4167,Hotel hewa bora
62,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
63,Siuna,NI,79.65,overcast clouds,13.7332,-84.7773,hotel los chinitos
64,Chateauneuf-Les-Martigues,FR,71.53,clear sky,43.3833,5.1667,Hotel Restaurant L'Hacienda
65,Nagato,JP,79.2,overcast clouds,34.3833,131.2,いそう庵
67,Victoria,HK,83.32,light rain,22.2855,114.1577,Mini Hotel Central
68,Sur,OM,87.98,broken clouds,22.5667,59.5289,Sur Plaza Hotel
69,Acapulco,MX,86.47,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
70,Bengkulu,ID,74.88,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Jizan,SA,85.71,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
72,Haines Junction,CA,75.54,overcast clouds,60.7522,-137.5108,Parkside Inn
75,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
76,Gorele,TR,76.44,clear sky,41.0308,39.0031,Görele Öğretmenevi
77,Amnat Charoen,TH,76.08,overcast clouds,15.9167,104.75,หอพักนักศึกษา
79,Cancun,MX,87.73,scattered clouds,21.1743,-86.8466,Hotel Tankah Cancun
81,Alugan,PH,82.2,overcast clouds,12.2188,125.4808,JM Lodge
82,Lorengau,PG,82.51,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
83,Biak,ID,76.59,broken clouds,-0.9131,122.8766,Penginapan Kim
84,Athabasca,CA,88.75,moderate rain,54.7169,-113.2854,Athabasca Lodge Motel
85,Waterloo,CA,74.44,broken clouds,43.4668,-80.5164,Comfort Inn
86,Sulphur,US,82.38,mist,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
87,Valleyview,CA,70.75,overcast clouds,55.0667,-117.2859,Paradise Inn & Suites
88,Xushan,CN,80.92,light rain,30.1764,121.2457,Hangzhou Bay Hotel
89,Suruc,TR,86.2,few clouds,36.9761,38.425,PEHLİVANKESMESİ KÖYÜ
90,Cobija,BO,74.79,clear sky,-11.0267,-68.7692,Hotel Obelisco
91,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
92,Iquitos,PE,76.24,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
94,George Town,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
95,Khuzdar,PK,79.75,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
96,Bharatpur,IN,79.29,scattered clouds,27.2167,77.4833,OYO 22446 Sonar Haveli
97,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
99,Miracema Do Tocantins,BR,79.29,clear sky,-9.5618,-48.3967,Miami Apart Hotel
100,Djambala,CG,77.04,broken clouds,-2.5447,14.7533,Hotel Ravin D'or
101,Saint Anthony,US,84.15,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
102,Hambantota,LK,79.23,overcast clouds,6.1241,81.1185,Bungalow 63
103,Constantine,DZ,73.09,scattered clouds,36.365,6.6147,Grand Hotel Cirta
104,Turbat,PK,85.44,scattered clouds,26.0023,63.044,Mubashar Quarters
105,Kosai,JP,82.15,overcast clouds,34.7105,137.5316,Hotel Route Inn Hamanako
106,Bubaque,GW,79.47,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
107,Norman Wells,CA,88.38,clear sky,65.282,-126.8329,Heritage Hotel
108,Pedernales,DO,83.7,overcast clouds,18.0384,-71.744,Hotel Costa Marina
109,Manapa,PH,78.64,overcast clouds,8.9778,125.4394,Orange View Beach Resort
110,Bac Lieu,VN,79.29,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
111,Harper,LR,75.7,few clouds,4.375,-7.7169,Screensaver
112,Nanpiao,CN,70.03,overcast clouds,41.0982,120.7479,Xinxing Hotel
113,Dharchula,IN,72.23,moderate rain,29.85,80.5333,Mahara Hotel
114,Tura,IN,73.8,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
115,Darab,IR,85.66,few clouds,28.7519,54.5444,Naghshe shapoor Hotel
116,Touros,BR,74.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
117,Jaisalmer,IN,81.97,scattered clouds,26.9147,70.9181,Hotel Fifu
118,Pocatello,US,78.73,scattered clouds,42.8713,-112.4455,Clarion Inn Pocatello
119,Omboue,GA,74.91,overcast clouds,-1.5746,9.2618,Hotel Olako
120,Kimbe,PG,81.28,light rain,-5.5502,150.1429,Kimbe Bay Hotel
121,Kindu,CD,73.35,scattered clouds,-2.95,25.95,Résidence Okanda
122,Odweyne,SO,70.88,few clouds,9.4092,45.064,Eng Hiirey House
123,Lagoa,PT,72.01,clear sky,39.05,-27.9833,Casa Das Faias
124,Pokhara,NP,72.34,overcast clouds,28.2333,83.9833,Butterfly Lodge
125,Umm Lajj,SA,88.68,clear sky,25.0213,37.2685,Moon light Furnished Units
126,Mayo,US,81.81,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
127,Vilhena,BR,70.66,clear sky,-12.7406,-60.1458,Hotel Mirage
128,Tigzirt,DZ,74.05,overcast clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
129,Puri,IN,84.38,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
130,Palmer,US,76.55,few clouds,42.1584,-72.3287,Wedgewood Motel
131,Owando,CG,76.64,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
132,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
133,Burns Lake,CA,83.93,clear sky,54.2331,-125.7533,Burns Lake Bed and Breakfast
134,Siva,EG,88.03,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
135,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
136,Rantauprapat,ID,72.41,broken clouds,2.1,99.8333,Permata Land Hotel & Resort
137,Sao Gabriel Da Cachoeira,BR,76.75,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
