City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Cabo San Lucas,MX,22.8909,-109.9124,98.82,66,45,12.26,scattered clouds
112,Sorland,NO,67.667,12.6934,50.18,73,98,10.85,overcast clouds
113,Port Alfred,ZA,-33.5906,26.891,57.33,83,28,19.48,scattered clouds
114,Longyearbyen,SJ,78.2186,15.6401,46.24,71,75,17.27,light rain
115,Makakilo City,US,21.3469,-158.0858,88.12,47,1,16.11,clear sky
116,Te Anau,NZ,-45.4167,167.7167,42.57,87,45,1.66,scattered clouds
117,Coquimbo,CL,-29.9533,-71.3436,55.96,85,8,1.61,clear sky
118,Saint-Augustin,CA,51.226,-58.6502,61.21,81,97,13.65,overcast clouds
119,Takoradi,GH,4.8845,-1.7554,76.59,85,56,6.17,broken clouds
120,Salalah,OM,17.0151,54.0924,77.09,94,90,6.91,light intensity drizzle
121,Sechura,PE,-5.5569,-80.8222,71.46,64,7,16.75,clear sky
122,Iquique,CL,-20.2208,-70.1431,62.53,75,91,3.8,overcast clouds
123,Dikson,RU,73.5069,80.5464,50.81,81,84,8.34,broken clouds
124,Elko,US,41.0002,-115.5012,86.05,23,4,8.99,clear sky
125,Butaritari,KI,3.0707,172.7902,82.85,71,48,5.12,light rain
126,Saldanha,ZA,-33.0117,17.9442,56.62,70,0,3.69,clear sky
127,Rio Gallegos,AR,-51.6226,-69.2181,42.28,62,20,40.89,few clouds
128,Georgetown,MY,5.4112,100.3354,80.89,88,20,1.99,few clouds
129,Atar,MR,20.5169,-13.0499,91.76,38,36,10.45,scattered clouds
130,Lashio,MM,22.9333,97.75,65.43,99,50,0.36,scattered clouds
131,Jamestown,US,42.097,-79.2353,71.37,53,1,4.0,clear sky
132,Port Lincoln,AU,-34.7333,135.8667,52.12,65,71,20.96,broken clouds
133,Kang,BW,-23.6752,22.7876,52.05,20,0,4.03,clear sky
134,Avera,US,33.194,-82.5271,90.72,42,17,4.09,few clouds
135,Luderitz,NA,-26.6481,15.1594,66.61,37,0,2.64,clear sky
136,Moree,AU,-29.4667,149.85,59.2,91,98,11.39,overcast clouds
137,Safford,US,32.834,-109.7076,97.72,32,1,5.75,clear sky
138,Castro,BR,-24.7911,-50.0119,50.85,81,0,1.77,clear sky
139,Makat,KZ,47.6469,53.3463,90.05,20,65,1.97,broken clouds
140,Mount Isa,AU,-20.7333,139.5,62.37,31,90,18.41,overcast clouds
141,Aksarka,RU,66.5606,67.7975,52.5,87,97,5.06,overcast clouds
142,Upernavik,GL,72.7868,-56.1549,47.16,66,40,1.5,scattered clouds
143,Katsuura,JP,35.1333,140.3,86.14,80,45,10.89,scattered clouds
144,Kailua,US,21.4022,-157.7394,89.58,59,40,14.97,scattered clouds
145,Pisco,PE,-13.7,-76.2167,66.25,72,0,8.05,clear sky
146,Hithadhoo,MV,-0.6,73.0833,81.59,69,100,4.88,overcast clouds
147,Inuvik,CA,68.3499,-133.7218,59.76,77,75,16.11,light rain
148,Nuuk,GL,64.1835,-51.7216,50.61,76,90,5.75,overcast clouds
149,Tecoanapa,MX,16.5167,-98.75,86.95,68,36,9.71,scattered clouds
150,Harindanga,IN,22.0383,88.3214,82.38,82,100,7.27,overcast clouds
151,Bethel,US,41.3712,-73.414,78.73,65,43,3.27,scattered clouds
152,Mar Del Plata,AR,-38.0023,-57.5575,53.13,50,0,8.01,clear sky
153,Sibolga,ID,1.7427,98.7792,75.9,84,77,3.42,broken clouds
154,Young,UY,-32.6833,-57.6333,51.22,74,0,4.9,clear sky
155,Tabou,CI,4.423,-7.3528,75.58,80,28,5.3,scattered clouds
156,Ayr,GB,55.4627,-4.6339,55.49,87,40,5.75,scattered clouds
157,Geraldton,AU,-28.7667,114.6,45.01,87,2,9.22,clear sky
158,Sioux Lookout,CA,50.1001,-91.917,77.79,38,83,4.03,broken clouds
159,Xai-Xai,MZ,-25.0519,33.6442,67.68,74,1,11.16,clear sky
160,Clevelandia,BR,-26.3958,-52.4708,45.77,78,0,2.68,clear sky
161,Bambous Virieux,MU,-20.3428,57.7575,66.76,71,1,3.69,clear sky
162,Cidreira,BR,-30.1811,-50.2056,53.15,85,0,6.2,clear sky
163,Belyy Yar,RU,53.6039,91.3903,64.29,77,20,4.47,light intensity shower rain
164,San Patricio,US,28.017,-97.5169,95.72,51,51,13.47,broken clouds
165,East London,ZA,-33.0153,27.9116,59.45,80,50,18.05,scattered clouds
166,Mutterstadt,DE,49.4414,8.3561,62.46,90,64,3.36,broken clouds
167,Kutum,SD,14.2,24.6667,72.86,65,34,13.65,scattered clouds
168,Ca Mau,VN,9.1769,105.15,77.14,90,90,5.55,overcast clouds
169,Chuy,UY,-33.6971,-53.4616,49.21,95,16,6.11,few clouds
